Lat	Long	Year	Month	Day	Depth	Temp	Salinity	Oxygen	pH
28.8029	-88.9478	1998	5	14	24	4.93	NA	NA	NA
28.9646	-88.9989	1998	5	14	11.5	5.061	NA	NA	NA
28.8887	-88.9755	1998	5	14	8.9	4.914	NA	NA	NA
29.0606	-89.0332	1998	5	14	4.2	33.802	4.336	NA	NA
29.778	-88.7455	1998	5	15	8.3	34.357	3.024	NA	NA
29.5681	-88.6503	1998	5	15	3.5	8.628	NA	NA	NA
29.3941	-88.5717	1998	5	15	12	5.017	NA	NA	NA
29.2318	-88.5057	1998	5	15	2.2	4.841	NA	NA	NA
29.1733	-88.4743	1998	5	15	18	4.894	NA	NA	NA
29.059	-88.4214	1998	5	15	21.9	4.948	NA	NA	NA
28.9035	-88.352	1998	5	15	23.9	36.313	4.918	NA	NA
29.1561	-87.8662	1998	5	15	19	35.894	5.129	NA	NA
29.1902	-87.8751	1998	5	15	19	5.1	NA	NA	NA
29.2614	-87.8903	1998	5	15	9.2	5.054	NA	NA	NA
29.3417	-87.8854	1998	5	15	18.3	5.063	NA	NA	NA
29.5582	-87.9473	1998	5	15	13.2	4.976	NA	NA	NA
29.8036	-87.9967	1998	5	16	3.4	8.087	NA	NA	NA
30.0964	-88.055	1998	5	16	5.1	4.769	NA	NA	NA
30.1421	-88.0855	1998	5	16	6.1	30.856	3.933	NA	NA
28.7588	-90.232	1998	6	10	0	24.08	NA	NA	NA
28.7892	-90.2754	1998	6	10	0	24.428	NA	NA	NA
28.8295	-90.4003	1998	6	10	0	24.884	NA	NA	NA
28.8571	-90.4593	1998	6	10	0	22.701	NA	NA	NA
28.8691	-90.4678	1998	6	10	0	22.274	NA	NA	NA
28.9138	-90.4538	1998	6	10	0	22.149	NA	NA	NA
28.95	-90.5251	1998	6	10	0	22.181	NA	NA	NA
28.9912	-90.5213	1998	6	10	0	21.72	NA	NA	NA
29.0563	-90.5321	1998	6	10	0	21.036	NA	NA	NA
29.134	-89.4746	1998	7	21	0	7.694	NA	NA	NA
29.0913	-89.5001	1998	7	21	0	26.058	NA	NA	NA
29.0286	-89.4975	1998	7	21	0	26.716	NA	NA	NA
28.9822	-89.5663	1998	7	21	0	26.135	NA	NA	NA
28.9498	-89.5731	1998	7	21	0	25.521	NA	NA	NA
28.8746	-89.6158	1998	7	21	0	24.984	NA	NA	NA
28.8329	-89.749	1998	7	21	0	26.809	NA	NA	NA
28.9426	-89.7501	1998	7	21	0	24.847	NA	NA	NA
29.0095	-89.7489	1998	7	21	0	25.195	NA	NA	NA
29.0705	-89.7498	1998	7	21	0	25.516	NA	NA	NA
29.1341	-89.7494	1998	7	21	0	25.707	NA	NA	NA
29.1778	-89.7497	1998	7	21	0	26.254	NA	NA	NA
29.2392	-89.7496	1998	7	21	0	26.311	NA	NA	NA
29.2892	-89.75	1998	7	21	0	8.789	NA	NA	NA
28.9116	-89.4246	1998	7	21	0	0.001	NA	NA	NA
28.8993	-89.4332	1998	7	21	0	4.726	NA	NA	NA
28.897	-89.434	1998	7	21	0	13.786	NA	NA	NA
28.8963	-89.4343	1998	7	21	0	8.991	NA	NA	NA
29.0776	-90.2074	1998	7	22	0	25.301	NA	NA	NA
